DATE#LOCATOR#PASSENGER#SEAT
1675012838074#ABN123#CLARK KENT#3
1675012991675#ABN123#DOROTHY HODGKIN#1
1675013764136#ABN123#BRUCE WAYNE#155
1675013784578#ABN123#MARY JONES#2
1675013801515#UVWX987#BENJAMIN HARRIS#154
1675013869178#LMN654#HAL JORDAN#4
1675014140111#LMN654#JESSICA JONES#5
1675014179879#LMN654#EMILY MARTIN#6
1675014359943#LMN654#EMILY MARTIN#7
1675014390988#LMN654#JOHN DAVIS#8
1675014437760#BCD369#STEVE ROGERS#9
1675014802966#BCD369#MARY JONES#10
1675083473566#BCD369#JOHN DAVIS#14
1675093567233#BCD369#EMILY MARTIN#11
1675093577813#CD4567#CLARK KENT#153
1675096701790#GHIJ89#ABIGAIL THOMPSON#12
1675270831653#PWKH6P#DAVID GARCIA#7
1675270841562#D4RRC3#DAVID GARCIA#1
1675270850975#T3XKCP#PEREZ, ANTONIO#9
1675270882075#YWDTKG#URAN, RODRIGO#1
1675270959286#KL6789#ALYSSA BAKER#1
1675270967452#KL6789#JOHN DAVIS#5
1675270974348#KL6789#SARAH BAKER#7
1675270980565#KL6789#ANDONI GOIKOETXEA#2
1675271002079#CD4567#MARK MOORE#1
1675271006371#CD4567#ASIER GARMENDIA#2
1675271011040#CD4567#MARIE CURIE#3
1675271028580#IJ2345#MICHAEL TAYLOR#1
1675271033640#IJ2345#ABIGAIL THOMPSON#2
1675271071389#CDE456#UNAI ELORRIAGA#5
1675271078208#CDE456#OLIVIA TAYLOR#6
1675271179086#G6CDCJ#PARKER, PETER#1
1675271252534#YZA246#TONY STARK#1
1675271260911#YZA246#JOHN DAVIS#2
1675271265042#YZA246#MATTHEW LEWIS#3
1675271269411#YZA246#BARRY ALLEN#4
1675271366912#YZ0123#JOHN DAVIS#1
1675271373953#IJ2345#WILLIAM RODRIGUEZ#5
